,id,amd,intel,radius,cos_sin_sqrt,ydl,pred,radius_pred
41,2715,140,84,0.72,0.5370927688006011,True,True,0.818133110673682
42,4169,199,126,0.4,-0.2198940098797774,False,False,0.24356328203345134
44,5162,242,80,0.19,,False,True,0.8057030633821436
45,4651,221,545,0.14,0.8020863517973208,False,False,0.19256241378854566
46,290,46,464,0.34,1.0966336408579174,False,False,0.22410264868203494
47,453,53,396,0.16,0.4656557218096317,False,False,0.25744339515454484
48,1420,91,164,0.34,0.1010924739226424,False,False,0.19359965049855188
50,5448,254,445,0.33,0.42882749916782453,False,False,0.2392068287819759
51,5247,247,375,0.29,0.6675281023446825,False,False,0.19177672159436254
52,1873,109,97,0.82,,True,True,0.8602109437652858
53,3491,169,499,0.21,,False,False,0.23654965082185048
54,4077,194,406,0.26,,False,False,0.19077924329654167
55,3958,189,205,0.34,,False,False,0.14970616436972992
56,4680,222,358,0.15,1.1847556245305142,False,False,0.15859483370887023
57,4628,219,581,0.26,,False,False,0.2531808762382565
59,2388,128,330,0.35,,False,False,0.14230201114933083
60,1209,83,279,0.6,0.3674889740818081,True,True,0.8533003611560425
61,4376,207,329,0.23,,False,False,0.1491094507036894
62,808,68,365,0.13,,False,False,0.13624603915040095
63,4897,231,205,0.24,,False,False,0.23099232095324376
64,2617,137,42,0.15,,False,False,0.2687929384113785
65,742,66,80,0.18,,False,False,0.25968934539189437
66,2706,140,208,0.2,1.3053604325822454,False,False,0.1526519219564803
67,5509,256,400,0.13,,False,False,0.20255056610234506
68,4604,218,462,0.39,,False,False,0.2239039672212475
69,2227,122,256,0.22,0.33784729680703746,False,False,0.16068798013328478
70,5098,239,84,0.71,,True,True,0.8334375127294027
71,1608,99,506,0.23,,False,False,0.2609931439331825
72,1323,87,501,0.17,,False,False,0.19410790256640448
73,1595,99,97,0.62,,True,True,0.8064778948496922
74,349,49,137,0.23,,False,False,0.2641974552426881
75,5429,253,356,0.32,0.6707110053193704,False,False,0.21568916394919505
76,5091,238,24,0.38,,False,False,0.1970126441450598
77,3692,177,298,0.39,,False,True,0.7589712488582606
78,381,50,149,0.33,,False,False,0.21600643094319924
79,4269,203,455,0.35,0.24864527249227814,False,False,0.1658044155297113
80,3471,169,82,0.37,-0.3549644784860852,False,True,0.7596251167069663
82,422,51,165,0.29,0.5208384689135527,False,False,0.19372990445650146
83,4998,235,302,0.11,0.710799658087165,False,False,0.23787936059580675
84,5347,250,413,0.25,,False,False,0.26130545708107045
85,4985,235,545,0.34,0.4163700323233498,False,True,0.7787825187490421
86,3573,173,338,0.74,-0.053490149937705005,True,True,0.7682115045546863
87,5286,248,563,0.89,,True,True,0.8026983622328491
88,124,37,423,0.25,,False,False,0.20303316638507152
90,4894,231,74,0.82,,True,True,0.8653420398626288
91,4446,211,529,0.11,,False,True,0.7911515277251601
93,2299,125,250,0.36,,False,False,0.19325586596263428
94,486,54,245,0.35,-0.37075689086245944,False,False,0.1850269268368545
95,3694,177,187,0.39,0.8566085263675508,False,False,0.19909731121476243
96,2264,124,352,0.18,,False,False,0.20904276207806555
97,1533,96,181,0.16,1.1361971593011106,False,False,0.1567809810303268
98,135,38,535,0.25,0.2803472087910798,False,False,0.26511349320374955
99,3313,162,150,0.17,,False,False,0.19411867964255689
101,5114,239,220,0.38,0.26279870395137667,False,False,0.19885998240352923
102,2114,118,331,0.29,,False,False,0.2118079437963596
103,1728,104,416,0.35,,False,False,0.153280528186149
104,4148,199,214,0.39,-0.19700376257164956,False,False,0.23541445864575278
106,1919,111,110,0.77,,True,True,0.8602324653566062
107,4870,230,213,0.24,-0.27062223126061696,False,False,0.21858482537650858
108,2333,126,461,0.23,,False,False,0.1376724836026133
109,1941,111,97,0.63,,True,True,0.7528204315437282
110,1562,97,409,0.15,0.41737879143499956,False,False,0.13518357065918918
111,3690,177,570,0.28,0.7235914393488535,False,False,0.2587462378290068
112,1564,97,489,0.33,0.3486327298762547,False,False,0.19542141650074202
113,4367,206,419,0.15,,False,False,0.26267227418807615
114,2718,140,513,0.84,0.6000602342802848,True,True,0.7678370061974025
115,3628,175,298,0.25,,False,True,0.7551971323778695
116,2412,129,301,0.28,-0.15427647436436628,False,False,0.22938439528365262
117,144,39,233,0.12,1.303993232914072,False,False,0.19679007439590548
118,380,50,148,0.15,,False,False,0.21313005854733405
119,4690,223,545,0.37,,False,False,0.2096415215117019
120,1438,92,428,0.19,,False,False,0.22377283436531548
121,3366,164,577,0.1,0.6210874205046861,False,False,0.14264299643903547
122,121,36,495,0.28,,False,False,0.16104220846495568
123,1789,106,447,0.11,,False,False,0.1759934572086705
124,611,61,175,0.3,,False,False,0.15782680652147535
125,730,66,208,0.27,-0.02324654605223204,False,False,0.18581679678701318
127,418,51,244,0.23,0.7258305201294606,False,False,0.2255155801356656
130,1302,86,67,0.24,,False,False,0.2099958826813391
132,1344,88,442,0.36,,False,False,0.16855263899637346
133,5635,261,539,0.12,,False,False,0.1335501592497717
134,5789,267,563,0.33,,False,False,0.176412927627022
135,3194,157,361,0.6,,True,True,0.7557447368627144
136,5800,267,15,0.26,,False,False,0.22149121425565244
137,248,45,116,0.12,,False,False,0.20478916202187308
138,1074,78,21,0.33,,False,False,0.22222307265623087
139,4054,193,403,0.22,,False,False,0.2252299920479317
140,447,53,59,0.23,,False,False,0.2609145214627924
141,4472,212,278,0.18,,False,False,0.13631307527873707
142,4702,223,126,0.24,0.05297484481155618,False,False,0.17061349313330132
143,1272,85,77,0.33,,False,False,0.16421338044483683
144,2292,125,39,0.4,,False,False,0.2573015110270682
145,4815,228,416,0.17,1.0789961194851392,False,False,0.21661071967033368
146,2275,124,342,0.35,,False,False,0.20686781839264662
147,3570,172,519,0.25,,False,True,0.7698078543529344
148,1002,76,552,0.38,0.6127794166193083,False,False,0.2057904778675923
149,4080,194,97,0.29,,False,False,0.17856670382038092
150,2519,133,520,0.9,0.840399407660483,True,True,0.768320747591016
151,3484,169,426,0.38,,False,False,0.2207993283083467
152,3381,165,82,0.74,1.392445668646014,True,True,0.8559622981942524
153,5909,273,386,0.26,,False,False,0.21406219857951553
154,1554,97,340,0.32,0.4051814379953905,False,False,0.2675141967685915
155,414,51,269,0.14,0.6880729070540277,False,False,0.14923832870939985
156,752,66,151,0.61,-0.02591701981945462,True,True,0.7876450084594521
157,1760,105,176,0.25,-0.15935301778717606,False,False,0.16919855945928802
158,1741,104,511,0.72,,True,True,0.7852062120888977
159,654,63,132,0.39,0.18070895960342995,False,False,0.17840206024443522
160,812,69,329,0.63,,True,True,0.7946364262211634
161,4586,217,315,0.28,-0.15109162726916803,False,False,0.25820205399112583
162,1780,106,302,0.29,-0.31789382011229167,False,False,0.14374515872747737
164,5980,280,305,0.19,,False,False,0.1871893306282915
165,4605,218,145,0.29,,False,False,0.2242302664468131
166,1881,110,111,0.86,,True,True,0.7809864818306699
167,589,60,256,0.66,,True,True,0.7796093117211486
168,4283,204,295,0.13,0.2171775997651759,False,False,0.2300893325436769
169,5841,269,166,0.29,,False,False,0.20192406640005883
170,1818,107,422,0.27,0.1548781627787554,False,False,0.26735108034164895
171,1620,100,115,0.78,,True,True,0.8095574075673609
173,2860,145,354,0.28,,False,False,0.17274370355314356
174,4059,193,79,0.9,,True,True,0.7997197279718898
176,5395,252,547,0.64,0.7776158843676088,True,True,0.7378411990282607
177,1902,110,499,0.3,,False,False,0.21333530965867759
178,4788,227,105,0.19,0.49961585008301673,False,False,0.1386491309478476
179,2855,145,563,0.39,,False,False,0.15607037922765982
180,2876,145,108,0.3,0.4295252555205876,False,False,0.21906123304223574
181,208,43,390,0.13,-0.2230406023685575,False,False,0.17244073471363325
182,4074,194,113,0.31,-0.38012036333188703,False,False,0.1486330665850184
183,5128,240,481,0.15,0.03626079297599457,False,False,0.14732928780925653
184,425,51,328,0.27,0.6574873591346957,False,False,0.2122120797463794
185,4253,203,87,0.84,1.144231615382345,True,True,0.7792876529709702
186,2858,145,574,0.14,,False,False,0.13238543787375195
188,1973,112,513,0.8,,True,True,0.7686535247084315
189,5290,248,416,0.35,0.12294342677338921,False,False,0.1934877234656321
191,3094,153,448,0.12,0.5638714149698595,False,False,0.2685950185673124
192,3290,162,277,0.11,,False,True,0.7952370173977923
193,2805,143,217,0.17,,False,False,0.139192082290165
194,1225,83,163,0.27,1.3359446275959812,False,False,0.22797892832442274
195,1186,82,243,0.15,,False,False,0.1404320385434252
196,4553,215,158,0.38,1.2343987944273231,False,False,0.15039978441669763
197,5724,264,138,0.19,0.11015958508948594,False,False,0.26340129619350605
198,5415,253,89,0.73,1.2204345593151433,True,True,0.7501956878148239
200,1616,99,86,0.1,,False,False,0.17029822809809808
201,4984,235,548,0.31,0.5150591787800485,False,True,0.8521428231883705
202,3593,173,451,0.22,,False,False,0.21221927899702087
203,2018,114,450,0.23,0.1838051728333192,False,False,0.14418424362061413
204,5462,254,581,0.29,,False,False,0.2209188297923071
205,1623,100,80,0.14,,False,False,0.14252112803371186
207,1487,95,78,0.14,,False,False,0.26142788703998165
209,2794,143,333,0.35,-0.04012965736968288,False,False,0.2648483029435856
210,1219,83,228,0.16,0.8307506321414497,False,False,0.20149442214996416
211,4405,208,90,0.18,0.24438300562980186,False,False,0.18533885609180353
213,2902,146,55,0.26,1.0056916307605037,False,False,0.1517933762010511
214,29,28,304,0.2,,False,False,0.26802981548985605
215,3090,153,437,0.37,,False,False,0.26500232939817125
217,907,73,265,0.23,,False,True,0.7421446583457776
218,1566,97,52,0.68,0.17667751586274988,True,True,0.8696169637024089
219,5002,235,563,0.71,,True,True,0.8615657197067854
220,751,66,152,0.63,-0.015309984185868169,True,True,0.8042593246868995
221,4236,202,302,0.25,1.0590485290892642,False,False,0.16198774112328532
222,584,59,353,0.1,0.6533494918693712,False,False,0.15813212919869477
223,5836,269,211,0.29,,False,False,0.24614502294958793
224,4012,191,408,0.14,0.7318108513464232,False,False,0.21839404546089325
225,4447,211,84,0.63,,True,True,0.7311522842065635
226,5014,235,411,0.24,,False,False,0.19936463158466805
228,3869,184,366,0.23,0.9628787940604218,False,False,0.19780790035127438
229,893,72,209,0.12,0.1046029107614904,False,False,0.21564419406713375
230,3919,187,543,0.27,,False,False,0.24817831410141
231,4302,204,433,0.23,0.20808965327233908,False,False,0.17071784902251558
232,4209,201,342,0.2,,False,False,0.17233561686068957
233,1617,99,85,0.28,,False,False,0.16398296007230823
234,2763,142,392,0.69,,True,True,0.8341971907536927
235,5894,271,417,0.34,0.17912172896917605,False,False,0.23060241328588274
236,3897,186,525,0.7,,True,True,0.7429495852281215
237,179,41,353,0.4,-0.08049170646302521,False,False,0.2291112453007243
238,3161,156,328,0.34,,False,False,0.1710148705769771
239,3034,151,114,0.29,0.1832408665167224,False,False,0.16989662680045067
240,3494,169,86,0.77,,True,True,0.8150166860475356
241,2153,119,442,0.27,,False,False,0.26762009531501674
242,994,76,450,0.27,,False,False,0.1430794377997185
243,3509,170,232,0.19,0.3851760955853763,False,False,0.17481367977806866
244,3153,155,58,0.23,,False,False,0.2473168368451097
245,3773,180,457,0.28,,False,False,0.17791105629225967
246,2002,113,68,0.62,-0.056912525021965324,True,True,0.8352386224033691
247,3441,167,520,0.84,,True,True,0.861212868776625
249,4575,217,56,0.4,-0.18033432201468821,False,False,0.2039202026041852
250,3518,170,302,0.83,0.3898720526913406,True,True,0.8315787193133235
251,1193,82,521,0.24,0.34150597531537413,False,False,0.1841617957748665
252,2145,119,564,0.4,,False,False,0.22103101680525655
253,624,62,62,0.2,,False,False,0.19754659817103906
255,3646,175,490,0.24,-0.35373145568649617,False,False,0.2151522166065496
256,2313,125,487,0.25,,False,False,0.19274830391602493
257,3513,170,507,0.31,,False,False,0.20419424986912094
258,2447,130,513,0.77,,True,True,0.7371174595434367
259,1242,84,562,0.34,,False,False,0.19446012893217268
260,764,67,182,0.23,-0.2988365890836613,False,False,0.23111301663254008
261,293,47,47,0.25,,False,False,0.2274155259908734
262,3608,174,571,0.28,,False,False,0.2214365152925992
264,468,53,513,0.12,,False,False,0.22332615829652303
268,1057,78,567,0.17,0.38852854786572805,False,False,0.14499391434308648
269,4075,194,134,0.19,,False,False,0.2299220242514976
270,4727,224,422,0.29,,False,False,0.20066514288307286
271,5012,235,435,0.12,0.48260124723255404,False,False,0.18871295582820502
272,577,59,511,0.23,0.2586905436948553,False,False,0.1514189686332791
274,245,45,56,0.39,1.11078721420737,False,False,0.18917286557228932
276,367,49,320,0.25,,False,False,0.1565608665103369
279,5531,257,586,0.34,,False,False,0.2012010445099664
281,4541,215,208,0.13,1.3053705672177336,False,False,0.2632638625345045
283,5520,257,449,0.25,,False,False,0.2687440370940173
284,5897,272,444,0.22,0.6554895452072143,False,False,0.22569981868880828
285,2063,116,472,0.37,0.23196894968566747,False,False,0.20252958080388872
286,2357,127,459,0.1,1.3475361815815294,False,False,0.26597360361924527
287,4486,212,514,0.87,,True,True,0.8567545125255901
289,555,58,442,0.23,0.6458234307974688,False,False,0.19060790742385203
290,3422,167,59,0.3,,False,False,0.20350360404110795
291,5424,253,121,0.25,0.9676726242297102,False,False,0.26758709697030025
292,1926,111,518,0.73,,True,True,0.8330551586467504
293,4129,198,82,0.81,-0.07423019650878188,True,True,0.8114467929455422
294,2302,125,210,0.31,,False,False,0.2000989877442288
295,1983,113,36,0.19,,False,False,0.25706992088307273
296,2893,146,479,0.29,1.0399698459752882,False,False,0.1397830961067353
298,4166,199,495,0.11,,False,False,0.23734017429478083
299,5604,261,196,0.4,-0.07646530997669027,False,False,0.26749705740755125
300,151,39,456,0.21,0.2582614555408995,False,False,0.23023983176274948
301,5447,254,261,0.16,,False,False,0.26696855818263043
302,2879,146,161,0.4,0.5316836966601555,False,False,0.16349320291038522
303,3731,178,185,0.27,,False,False,0.19427294654561061
304,1543,96,158,0.29,1.2399119838716988,False,False,0.17380410463991922
305,4228,202,190,0.19,0.7533541874958563,False,False,0.20352967461064775
306,5769,266,475,0.21,0.18424147625448664,False,False,0.1828542265115926
307,1513,95,60,0.74,,True,True,0.7527389945062659
308,3715,177,336,0.29,,False,True,0.748354055689073
309,3703,177,80,0.77,0.7686817637550771,True,True,0.8226350661563464
310,2513,132,460,0.22,0.028783513811339707,False,False,0.17574181690174498
311,4882,231,63,0.15,,False,False,0.2348437923719311
312,5291,248,377,0.14,0.20109253401260452,False,False,0.1821988911952708
314,748,66,48,0.68,,True,True,0.856098444476558
315,2829,144,218,0.31,,False,False,0.23968644578576556
316,3065,152,104,0.38,,False,False,0.1691645402582172
317,996,76,82,0.16,0.6969760649313458,False,False,0.24660954185196796
319,3045,152,83,0.62,1.0150737729092123,True,True,0.8105115551216525
320,2236,122,134,0.32,0.09314632747604412,False,False,0.2398360029228194
321,3103,154,291,0.18,,False,True,0.7411454815226509
322,1992,113,450,0.1,,False,False,0.24709941961675014
323,5471,255,109,0.11,,False,False,0.22780772587241171
324,2857,145,575,0.19,,False,False,0.20627105401328938
325,491,54,41,0.72,,True,True,0.7411853715791985
326,4351,206,516,0.77,,True,True,0.8658888608576814
328,1103,79,21,0.4,,False,False,0.1578289606214278
329,471,53,41,0.74,,True,True,0.8245978923091897
330,2985,149,405,0.33,,False,False,0.1864942641459971
332,4694,223,294,0.32,0.029595298136774705,False,False,0.13399571391552237
333,807,68,333,0.81,-0.2868220694089471,True,True,0.8107990436026628
334,5691,263,491,0.23,,False,False,0.20174145714580013
335,3392,165,270,0.71,1.404797662912298,True,True,0.7687298646961553
336,1297,86,515,0.26,-0.21093998336715686,False,False,0.2364176621978823
337,896,72,169,0.12,0.26037867503254336,False,False,0.21321838325928255
338,6007,282,298,0.11,,False,False,0.21271385817469893
339,3454,168,570,0.16,,False,False,0.21199027377747237
340,5731,265,156,0.23,1.0447542477977079,False,False,0.18261075167756188
341,4336,205,22,0.23,,False,False,0.151727873029884
342,354,49,562,0.37,,False,False,0.1873371110236444
343,251,45,537,0.2,,False,False,0.26330111161822456
344,185,42,549,0.24,,False,False,0.20667867487104852
346,2195,121,321,0.17,1.3575694118043324,False,False,0.14863240796122174
347,3336,163,529,0.9,,True,True,0.7991468884664865
349,227,44,170,0.38,0.0173053559647296,False,False,0.2144749586988628
350,2781,142,271,0.67,-0.17848691955441007,True,True,0.7934955248800658
351,3805,182,84,0.64,,True,True,0.7818310321121476
352,1192,82,514,0.27,0.2536479959594105,False,False,0.26576647473298287
354,3077,153,379,0.8,0.49853186298129065,True,True,0.8095541061717754
355,5261,248,89,0.13,0.1540138217757342,False,True,0.7550175472680016
356,5480,255,234,0.3,,False,False,0.22699029406290008
357,3450,168,345,0.8,,True,True,0.8273902287096868
358,5326,249,23,0.24,,False,False,0.22930915413512362
359,4584,217,89,0.74,-0.12114020335342655,True,True,0.7822022457812671
360,2233,122,443,0.31,,False,False,0.20385473133074133
361,2240,122,22,0.19,,False,False,0.20544941302973652
362,3861,184,443,0.23,,False,False,0.13704389296227784
363,3787,181,83,0.61,,True,True,0.8152664870579837
364,292,47,55,0.18,0.04716866852575683,False,False,0.19103233361204253
365,5183,243,184,0.3,,False,False,0.26910815393534526
366,549,57,490,0.26,0.5219883148150571,False,False,0.2430587226431957
367,1507,95,67,0.15,0.27795563133699697,False,False,0.13921700828047393
368,5389,251,545,0.26,,False,True,0.7590905915087255
369,1144,81,73,0.19,,False,False,0.21529564693051084
370,2900,146,165,0.27,0.9610283870404484,False,False,0.23039571850469373
371,1086,79,531,0.23,,False,False,0.25723506286558245
373,5044,236,142,0.37,,False,False,0.23240577612204344
374,4233,202,394,0.34,0.5924868197442212,False,False,0.15895633346096877
375,2251,123,460,0.14,,False,False,0.25376705413122363
376,1351,88,168,0.39,,False,False,0.24451922568697368
377,3908,186,379,0.25,,False,False,0.1638699518645046
378,1611,99,109,0.73,,True,True,0.8322695364595849
379,1726,104,189,0.17,-0.2393489824081529,False,False,0.24070771388661424
380,3757,179,79,0.6,,True,True,0.8073615856854252
381,3169,156,225,0.38,,False,False,0.13715831417010038
383,4144,198,24,0.34,-0.046714762743058226,False,False,0.18515981442543572
384,5227,246,504,0.61,0.8331238535870241,True,True,0.8185447741930982
385,1119,80,562,0.18,,False,False,0.1707758601498373
386,3357,163,512,0.62,,True,True,0.7631492471483166
387,5110,239,473,0.2,0.05160272700505705,False,False,0.24865519459315447
388,1090,79,185,0.25,,False,False,0.1696927957901345
389,1700,103,328,0.19,0.5959558257275558,False,False,0.22646924250116462
392,3639,175,416,0.29,,False,False,0.13570795839415808
393,932,74,265,0.69,,True,True,0.8304122150951083
394,613,61,182,0.31,-0.10322336419588175,False,False,0.21658950893847892
395,3307,162,334,0.23,,False,False,0.19997191345641743
396,2115,118,340,0.26,,False,False,0.26015693322597233
397,1740,104,277,0.6,-0.2355025436917061,True,True,0.7614392510248138
398,1172,82,311,0.65,,True,True,0.7767589831838397
399,4774,226,44,0.1,-0.17371206220474797,False,False,0.24219371765823905
400,4292,204,193,0.38,,False,False,0.20677703506535078
401,1729,104,417,0.15,,False,False,0.19529964615422857
402,5920,274,361,0.37,,False,False,0.26210828032893607
403,5427,253,584,0.38,1.3852104216549985,False,False,0.23640580578261325
404,505,55,377,0.14,-0.014327777538613836,False,False,0.19358365695230678
405,3783,181,459,0.34,-0.09553142350821335,False,False,0.16530499800533993
406,5028,236,508,0.74,-0.17420200746389414,True,True,0.8353108772521296
407,272,46,150,0.11,1.1410524184096944,False,False,0.23651358770969544
409,4532,214,458,0.26,0.38871659818538484,False,False,0.19948946311328497
410,2144,119,520,0.65,,True,True,0.7757336378641231
411,5981,280,305,0.39,,False,False,0.19855390118042532
412,2229,122,490,0.29,0.6097374895797866,False,False,0.16329555327125653
413,701,65,184,0.28,0.6466698790644919,False,False,0.14228279941054464
414,3856,184,225,0.24,1.1321236377880015,False,False,0.1853479359980419
415,3611,174,224,0.2,,False,False,0.17078545935382983
417,5338,250,537,0.84,,True,True,0.8164277333411503
418,5902,272,157,0.19,1.357492731588807,False,False,0.18390728618621927
419,3039,151,316,0.38,,False,False,0.14188665775223885
420,5015,236,518,0.73,,True,True,0.7314906702749632
421,2087,117,250,0.4,,False,False,0.16493073433892225
422,1175,82,336,0.61,,True,True,0.7716635064075342
423,952,74,77,0.33,,False,False,0.21875731499501172
424,4674,222,487,0.24,,False,False,0.2611102662106642
425,3014,150,70,0.74,,True,True,0.7757622912161267
426,3614,174,272,0.86,,True,True,0.7963679514348948
427,4657,221,473,0.27,0.7395226667618269,False,False,0.24931751005002978
429,1732,104,488,0.28,,False,False,0.1956939857624369
430,3193,157,405,0.23,,False,False,0.13655648583492933
431,416,51,210,0.24,,False,False,0.1430360583297567
432,2377,128,276,0.71,0.9168872832431325,True,True,0.7519200699835444
433,1393,90,552,0.38,1.0947617979701671,False,False,0.18660509513427775
434,2910,147,290,0.69,0.6591963848057958,True,True,0.8502537939851649
435,564,58,206,0.12,1.0951538236119807,False,False,0.15822363067434256
436,478,54,503,0.4,-0.34546861725136296,False,False,0.2480386829950395
437,3698,177,504,0.16,0.9209682284297218,False,False,0.21556842556906264
438,142,39,360,0.26,0.7948269819917128,False,False,0.2166717200387479
439,5397,252,577,0.69,0.6587265815381014,True,True,0.7348115109974755
440,4663,222,321,0.35,1.1387915401943913,False,False,0.14447671858660277
441,1163,81,21,0.35,,False,False,0.13397290350933952
442,2330,126,238,0.14,0.33880092545265644,False,False,0.22735567181643906
443,605,61,287,0.68,,True,True,0.8665645564869736
444,5878,271,445,0.23,0.796913270447623,False,False,0.2634055140566569
445,2850,145,79,0.9,,True,True,0.7421577945706841
446,497,55,59,0.19,,False,False,0.14677213457506552
447,1371,89,491,0.23,1.043698323337495,False,False,0.1490184383843638
448,4048,193,103,0.27,,False,False,0.1592362842380679
449,3409,166,500,0.2,,False,False,0.24014401727661155
450,5412,252,322,0.17,0.4969508817927481,False,False,0.20285422227877137
451,721,65,363,0.35,0.8153212242596227,False,False,0.2232305663313155
452,1097,79,390,0.16,-0.30106994586136704,False,False,0.20269084074292926
454,5325,249,21,0.16,,False,False,0.18254575403421167
455,4766,226,569,0.34,,False,False,0.164597472451455
456,5241,246,341,0.14,0.6735140437108336,False,False,0.2563686681700733
458,3947,188,387,0.28,,False,False,0.23957127328890104
459,4848,229,157,0.39,0.38007216013646045,False,False,0.15784519231658828
460,4730,225,51,0.37,,False,False,0.19940564336239278
461,2653,138,209,0.34,,False,False,0.16090146550704984
463,2406,129,525,0.14,,False,True,0.7503230452199398
466,3149,155,364,0.81,-0.16986019481399278,True,True,0.8522834696837929
467,3997,190,80,0.76,0.9399523602632214,True,True,0.8217356183009182
468,5365,250,544,0.38,,False,True,0.7664463990914352
469,2314,125,376,0.1,,False,True,0.7612087889788095
470,5119,240,511,0.63,0.6507563496398264,True,True,0.801065071290934
471,1374,89,442,0.22,0.4633965034650568,False,False,0.2207668876856611
472,1161,81,67,0.27,,False,False,0.2114750676759819
473,2845,144,455,0.12,,False,False,0.26073849879397065
474,724,66,275,0.78,-0.007689117475271063,True,True,0.7378698351844086
475,765,67,385,0.34,,False,False,0.26682057441794027
476,286,46,234,0.17,0.8791496852520893,False,False,0.14773964652384583
477,307,47,403,0.28,0.10799006365369394,False,False,0.16034876917837676
478,2197,121,205,0.25,0.5466959890843825,False,False,0.205124523203057
479,4684,222,223,0.38,,False,False,0.2553298824498287
480,5455,254,142,0.25,,False,False,0.265983913377731
482,2252,123,490,0.17,-0.3367633717799744,False,False,0.2637097785928394
483,5101,239,105,0.15,,False,False,0.25451633526497836
484,2840,144,116,0.36,,False,False,0.23302932780829516
485,71,31,541,0.19,-0.253747944037953,False,False,0.16252819627305487
486,1586,98,424,0.26,,False,False,0.2447708049652932
487,711,65,380,0.12,,False,False,0.23442040809818485
488,3733,178,457,0.17,0.7730734527071372,False,False,0.22093085277540836
489,1020,76,366,0.21,0.42426048996431953,False,False,0.1605559849927465
490,1360,89,121,0.79,0.7747338866231605,True,True,0.8621400237419325
491,3693,177,186,0.29,0.24683801967025493,False,False,0.24444814355654687
492,2446,130,421,0.19,-0.24527425609120357,False,False,0.24780422937005106
493,737,66,227,0.26,-0.02167333691668765,False,False,0.21639325626453515
494,1561,97,440,0.2,0.4433420361580336,False,False,0.2539508515351758
495,5026,236,384,0.38,-0.22794113847653522,False,False,0.16995581234612472
496,1632,100,312,0.13,,False,False,0.24100992596541673
497,5590,260,287,0.37,0.336888966615477,False,False,0.19993618930668405
498,3982,190,82,0.67,1.392449173338442,True,True,0.7868892550188842
499,3074,153,291,0.65,0.5191839766222105,True,True,0.7396632291175756
500,1095,79,378,0.33,-0.13226421104136607,False,False,0.14709168116719476
501,2245,123,367,0.81,,True,True,0.8196639937970291
502,5643,261,167,0.39,,False,False,0.1324185154876841
503,5340,250,497,0.73,,True,True,0.8025608701909103
504,3937,188,88,0.62,-0.3441719346306789,True,True,0.8518646651484288
505,978,75,413,0.39,,False,False,0.20860239388581472
506,2633,137,88,0.62,-0.22474341486548138,True,True,0.8508823617346621
507,5196,244,206,0.24,,False,False,0.14430753640552862
510,5299,248,32,0.38,0.18649676180456262,False,False,0.17359308083428265
512,2209,121,513,0.77,0.6264023631823411,True,True,0.8135304565014085
513,911,73,342,0.85,,True,True,0.7658131712335454
514,4437,210,450,0.34,,False,False,0.24253749758869841
515,47,29,325,0.39,,False,False,0.21947630025753342
517,5212,245,409,0.11,-0.03917443742112649,False,False,0.19433347366050455
519,3705,177,89,0.64,1.0338316240181415,True,True,0.7312759838621588
520,3800,181,135,0.34,,False,False,0.1479213906734119
521,2503,132,362,0.16,,False,False,0.25078820727912965
